distribution,alpha,kmax,R0_target,R0_measured,beta_ma,beta_cm,final_EBMA,peak_EBMA,tpeak_EBMA,final_Static,peak_Static,tpeak_Static
"Power law α=2.0, kmax=30",2.0,30,0.5,0.5,0.06658311884867314,0.08320283075473985,2.0005128182569473e-06,9.999994624587671e-07,0.0,1.8463630915598838e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.51,0.51,0.0679147812256466,0.08500834607045145,2.0406685787957755e-06,9.999994624587671e-07,0.0,1.8809081075046658e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.52,0.52,0.06924644360262007,0.0868198904108494,2.0829655410549767e-06,9.999994624587671e-07,0.0,1.916892453156751e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.53,0.53,0.07057810597959353,0.08863749402485671,2.127406680595783e-06,9.999994624587671e-07,0.0,1.954408001766664e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.54,0.54,0.071909768356567,0.09046118736408922,2.173910534233927e-06,9.999994624587671e-07,0.0,1.9935546021827377e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.55,0.55,0.07324143073354046,0.09229100108455623,2.2222667219738704e-06,9.999994624587671e-07,0.0,2.0344409900233186e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.56,0.5600000000000002,0.07457309311051394,0.0941269660483783,2.2730952382747374e-06,9.999994624587671e-07,0.0,2.077185784073048e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.57,0.57,0.07590475548748737,0.09596911332552224,2.325614155541101e-06,9.999994624587671e-07,0.0,2.1219186295727557e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.58,0.58,0.07723641786446084,0.09781747419555403,2.3810461991352294e-06,9.999994624587671e-07,0.0,2.1687815242397592e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.59,0.59,0.0785680802414343,0.09967208014940897,2.4390540477838396e-06,9.999994624587671e-07,0.0,2.217930315205264e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.6,0.6000000000000001,0.07989974261840778,0.10153296289118026,2.500026547314759e-06,9.999994624587671e-07,0.0,2.2695364367869305e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.61,0.61,0.08123140499538123,0.10340015433992557,2.5639310818243817e-06,9.999994624587671e-07,0.0,2.3237889020110752e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.62,0.62,0.08256306737235469,0.10527368663149204,2.631422835288789e-06,9.999994624587671e-07,0.0,2.380896616015239e-06,9.99999462014678e-07,0.0
"Power law α=2.0, kmax=30",2.0,30,0.63,0.63,0.08389472974932816,0.10715359212035992,2.702482840589465e-06,9.999994624587671e-07,0.0,2.4410910743431596e-06,9.99999462014678e-07,0.0
